review_id,review,rating,date,source,bank
190,application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,Google Play,Commercial Bank of Ethiopia
191,user compatible app!,5,2025-10-08,Google Play,Commercial Bank of Ethiopia
192,"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,Google Play,Commercial Bank of Ethiopia
193,what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,Google Play,Commercial Bank of Ethiopia
194,Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,Google Play,Commercial Bank of Ethiopia
195,Asledin Ibsa,5,2025-10-06,Google Play,Commercial Bank of Ethiopia
196,terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,Google Play,Commercial Bank of Ethiopia
197,my bank,5,2025-10-05,Google Play,Commercial Bank of Ethiopia
198,Data,5,2025-10-04,Google Play,Commercial Bank of Ethiopia
199,"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,Google Play,Commercial Bank of Ethiopia
200,excellent app with lots of features,5,2025-10-04,Google Play,Commercial Bank of Ethiopia
201,very good 👍 mobile banking,5,2025-10-04,Google Play,Commercial Bank of Ethiopia
202,so special,5,2025-10-04,Google Play,Commercial Bank of Ethiopia
203,wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,Google Play,Commercial Bank of Ethiopia
204,woow cbe,5,2025-10-03,Google Play,Commercial Bank of Ethiopia
205,cbe the best bank app,4,2025-10-03,Google Play,Commercial Bank of Ethiopia
206,This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,Google Play,Commercial Bank of Ethiopia
207,Rijalufaris,5,2025-10-02,Google Play,Commercial Bank of Ethiopia
208,its Best app But i hate the Repeatedly update request,5,2025-10-02,Google Play,Commercial Bank of Ethiopia
209,good app,5,2025-10-02,Google Play,Commercial Bank of Ethiopia
210,imoo,3,2025-10-02,Google Play,Commercial Bank of Ethiopia
211,"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,Google Play,Commercial Bank of Ethiopia
212,screen shoot always not allowed why?,5,2025-10-02,Google Play,Commercial Bank of Ethiopia
213,enkorabetalen,5,2025-10-01,Google Play,Commercial Bank of Ethiopia
214,good,5,2025-10-01,Google Play,Commercial Bank of Ethiopia
215,Gamada mahamadi,1,2025-10-01,Google Play,Commercial Bank of Ethiopia
216,it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,Google Play,Commercial Bank of Ethiopia
217,verfcasencod,5,2025-09-30,Google Play,Commercial Bank of Ethiopia
218,you can't get your own transaction history,1,2025-09-29,Google Play,Commercial Bank of Ethiopia
219,sintu,5,2025-09-29,Google Play,Commercial Bank of Ethiopia
220,BEST,5,2025-09-28,Google Play,Commercial Bank of Ethiopia
221,Bank of Ethiopia,5,2025-09-28,Google Play,Commercial Bank of Ethiopia
222,"All most Good, but need improvement",5,2025-09-27,Google Play,Commercial Bank of Ethiopia
223,"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,Google Play,Commercial Bank of Ethiopia
224,poor app all of you guys delete CBE and download BOA,1,2025-09-27,Google Play,Commercial Bank of Ethiopia
225,niceapp,5,2025-09-27,Google Play,Commercial Bank of Ethiopia
226,good,5,2025-09-26,Google Play,Commercial Bank of Ethiopia
227,good,5,2025-09-25,Google Play,Commercial Bank of Ethiopia
228,good,5,2025-09-25,Google Play,Commercial Bank of Ethiopia
229,the best app of all,5,2025-09-25,Google Play,Commercial Bank of Ethiopia
230,❤️,5,2025-09-25,Google Play,Commercial Bank of Ethiopia
